Timestamp,CPU %,Cores Used
1680419889.979142,99.7,8
1680419891.9828758,99.8,8
1680419893.988446,99.9,8
1680419895.9900339,99.8,8
1680419897.995062,99.9,8
1680419900.00116,99.8,8
1680419902.0066051,99.8,8
1680419904.011699,100.0,8
1680419906.017191,99.8,8
1680419908.019109,100.0,8
1680419910.0245929,99.9,8
1680419912.0288541,99.8,8
1680419914.034328,99.9,8
1680419916.039948,99.8,8
1680419918.043228,99.9,8
1680419920.048307,99.6,8
1680419922.053694,99.6,8
1680419924.059155,99.6,8
1680419926.063124,99.6,8
1680419928.068898,99.6,8
1680419930.069659,99.9,8
1680419932.075039,100.0,8
1680419934.0756,99.9,8
1680419936.079941,99.8,8
1680419938.0855522,99.9,8
1680419940.089443,99.8,8
1680419942.091132,99.8,8
1680419944.0938702,99.8,8
1680419946.099293,99.9,8
1680419948.103771,99.9,8
1680419950.105171,99.7,8
1680419952.1098912,99.6,8
1680419954.113354,99.6,8
1680419956.11777,99.6,8
1680419958.123188,99.8,8
1680419960.128618,99.8,8
1680419962.130576,99.9,8
1680419964.136705,99.9,8
1680419966.139988,99.9,8
1680419968.146295,99.9,8
1680419970.14799,99.6,8
1680419972.153398,99.4,8
1680419974.156636,99.8,8
1680419976.16208,99.8,8
1680419978.167536,99.9,8
1680419980.172985,99.9,8
1680419982.178418,99.9,8
1680419984.1826189,99.9,8
1680419986.186385,99.5,8
1680419988.189018,99.8,8
1680419990.19077,99.9,8
1680419992.196178,99.9,8
1680419994.1974661,99.8,8
1680419996.203635,99.8,8
1680419998.207755,99.6,8
1680420000.2131531,99.8,8
1680420002.215383,99.6,8
1680420004.221022,99.8,8
1680420006.226007,100.0,8
1680420008.227445,99.8,8
1680420010.2328808,99.9,8
1680420012.234727,99.6,8
1680420014.237679,99.5,8
1680420016.24308,99.7,8
1680420018.2441752,99.6,8
1680420020.2546182,94.5,8
1680420022.2601018,37.9,8
1680420024.2660701,3.6,8
1680420026.272119,9.5,8
1680420028.2726889,29.7,8
1680420030.278471,5.9,8
1680420032.2843661,4.5,8
1680420034.2903,2.9,8
1680420036.291968,3.8,8
1680420038.296006,13.5,8
1680420040.3016589,3.4,8
1680420042.303398,2.0,8
1680420044.3081899,2.8,8
1680420046.3122518,6.8,8
1680420048.3182569,5.7,8
1680420050.324244,6.1,8
1680420052.330281,5.9,8
1680420054.336282,7.6,8
1680420056.342168,25.5,8
1680420058.347254,51.5,8
1680420060.3571358,30.6,8
1680420062.3600068,16.4,8
1680420064.362078,19.4,8
1680420066.367649,14.8,8
1680420068.3690162,20.7,8
1680420070.3748732,22.7,8
1680420072.377055,17.7,8
1680420074.3826969,16.1,8
1680420076.388293,16.4,8
1680420078.393785,16.1,8
1680420080.395912,19.9,8
1680420082.398923,18.1,8
1680420084.404576,20.2,8
1680420086.410173,17.4,8
1680420088.4111922,16.2,8
1680420090.413016,17.0,8
1680420092.4147599,23.8,8
1680420094.4204211,24.1,8
1680420096.426168,26.2,8
1680420098.431584,20.2,8
1680420100.436887,42.2,8
1680420102.441324,20.7,8
1680420104.442987,15.8,8
1680420106.443995,19.6,8
1680420108.4471722,18.2,8
1680420110.4528809,18.3,8
1680420112.454282,18.1,8
1680420114.459114,18.2,8
1680420116.463388,18.6,8
1680420118.4647412,19.1,8
1680420120.470319,19.8,8
1680420122.4717572,19.8,8
1680420124.4773288,18.0,8
1680420126.479445,30.4,8
1680420128.482694,23.5,8
1680420130.4882948,21.8,8
1680420132.489354,29.2,8
1680420134.493633,19.2,8
1680420136.49469,17.3,8
1680420138.5003269,19.3,8
1680420140.505944,15.8,8
1680420142.510178,27.9,8
1680420144.515745,15.7,8
1680420146.5179892,15.1,8
1680420148.523593,15.9,8
1680420150.5277739,15.3,8
1680420152.5331268,17.6,8
1680420154.538613,16.9,8
1680420156.54392,15.1,8
1680420158.54948,16.3,8
